Query,Category,Source,Answer,,
Red palm weevil attack in my coconut trees, what to do?,Pest,CPCRI,Use pheromone traps and inject monocrotophos to control red palm weevil in coconut trees.,
Root wilt disease spreading in coconut palm, any cure?,Pest,Kerala Agriculture Department,Improve drainage and apply balanced fertilizers; use tolerant coconut varieties to manage root wilt disease.,
Rhinoceros beetle boring holes in coconut trunk,Pest,CPCRI,Follow integrated pest management practices for coconut pests and diseases.,,
Symptoms of bud rot in coconut after monsoon rains in Kerala?,Pest,CPCRI,Remove affected palms and spray recommended fungicides like copper oxychloride to manage bud rot.,,
Thanjavur wilt observed in my coconut grove, how to manage?,Pest,ICAR-CPCRI,Remove and destroy wilt-affected palms; treat soil with Trichoderma viride; apply lime to reduce spread.,
Mite infestation on coconut leaves, organic control?,Pest,CPCRI,Follow integrated pest management practices for coconut pests and diseases.,
Leaf rot on coconut during humid weather, solution?,Pest,Kerala Agriculture Department,Follow integrated pest management practices for coconut pests and diseases.,
Heart rot in coconut seedlings, recommended treatment?,Pest,ICAR-CPCRI,Follow integrated pest management practices for coconut pests and diseases.,
Dieback in arecanut palms in Kerala, management?,Pest,Kerala Agriculture Department,Consult your local agricultural extension officer for detailed pest management advice.,
Scale insects on black pepper vines in Wayanad,Pest,Kerala Agricultural University,Consult your local agricultural extension officer for detailed pest management advice.,,
Aphids on cardamom plants in Idukki hills,Pest,Kerala Agriculture Department,Consult your local agricultural extension officer for detailed pest management advice.,,
Fruit borer in nutmeg plantation Kollam district,Pest,Kerala Agriculture Department,Consult your local agricultural extension officer for detailed pest management advice.,,
Gall midge attack in paddy field during rainy season,Pest,Kerala Rice Research Institute,Refer to Kerala Rice Research Institute guidance for paddy pest diseases.,,
Brown plant hopper damaging my paddy in Alappuzha,Pest,Kerala Rice Research Institute,Spray recommended insecticide such as acephate; consider resistant paddy varieties.,,
Stem borer in rice crop, organic treatment available?,Pest,ICAR Rice Improvement,Use light traps and chemical control like fipronil spraying to manage stem borer in paddy crops.,
Sheath blight infection in rice, how to treat?,Pest,Kerala Agriculture Department,Apply fungicide validamycin and maintain appropriate water levels for sheath blight control.,
Blast disease in paddy, recommended control?,Pest,Kerala Rice Research Institute,Refer to Kerala Rice Research Institute guidance for paddy pest diseases.,
False smut in rice, chemical recommendations?,Pest,Kerala Rice Research Institute,Refer to Kerala Rice Research Institute guidance for paddy pest diseases.,
Kernel smut in rice, what fungicide to use?,Pest,ICAR Rice Improvement,Refer to Kerala Rice Research Institute guidance for paddy pest diseases.,
Leaf folder infestation in paddy, control measures?,Pest,Kerala Rice Research Institute,Refer to Kerala Rice Research Institute guidance for paddy pest diseases.,
Panicle drying in rice, nutrient deficiency solution?,Pest,Kerala Agriculture Department,Refer to Kerala Rice Research Institute guidance for paddy pest diseases.,
Sigatoka leaf spot in banana, which fungicide?,Pest,Kerala Agricultural University,Apply propiconazole fungicide and remove affected leaves to manage leaf spot in banana.,
Banana bunchy top virus symptoms and cure?,Pest,ICAR-NRC Banana,Use virus-free planting material and control aphid vectors to manage banana bunchy top virus.,,
Rhizome rot in banana, organic management?,Pest,Kerala Agriculture Department,Use fungicides like carbendazim and ensure proper drainage to control banana rhizome rot.,
Cigar end rot in banana bunches, treatment?,Pest,ICAR-NRC Banana,Consult local agriculture experts for specific banana pest management.,
Black tip disease in banana, nutrient solution?,Pest,Kerala Agricultural University,Consult local agriculture experts for specific banana pest management.,
Banana weevil larvae in fields, biological control?,Pest,ICAR-NRC Banana,Consult local agriculture experts for specific banana pest management.,
Leaf spot on banana plants, recommended spray?,Pest,Kerala Agriculture Department,Apply propiconazole fungicide and remove affected leaves to manage leaf spot in banana.,
Fruit scarring beetle in banana, control methods?,Pest,Kerala Agricultural University,Consult local agriculture experts for specific banana pest management.,
Panama disease in banana plantations, resistant varieties?,Pest,Kerala Agriculture Department,Consult local agriculture experts for specific banana pest management.,
Heavy rain expected, should I harvest paddy now?,Weather,IMD Kerala,Drain excessive water promptly and use raised beds or transplanting to avoid flood damage.,
Southwest monsoon delayed, should I transplant paddy now?,Weather,IMD Kerala,Follow IMD Kerala weather updates to plan sowing and harvesting schedules during monsoon.,
Flooding in Kuttanad paddy fields, crop survival tips?,Weather,Kerala Rice Research Institute,Drain excessive water promptly and use raised beds or transplanting to avoid flood damage.,
